Duplicate_Meeting_Flag,CTERM_TERM_CD,Term,Acad_Year,Class_Subject_Code,Class_Catalog_NBR,Class_Section,Short_Class_Description,Course_Description,Class_Component_Code,Class_Component,Day10_Enroll,Instruction_Mode_Code,Class_Subject,Instruction_Mode,Course_Topic_Description,Class_Acad_Org_Code,Class_Acad_Org,Class_Academic_Career_Code,Class_Academic_Career,Class_Academic_Group_Code,Class_Academic_Group,Enrollment_Cap,Room_Capacity_Request,Class_Type_Code,Class_Type_Descr,Course_Grading_Basis,Max_Credits,Min_Credits,Variable_Credits_Flag,Class_Campus_Code,Class_Campus,Class_Location,Building_Code,Room,Room_Type_Code,Room_Capacity,Class_Days,Class_Duration,Class_Start_Time,Class_End_Time,Class_Meeting_Start_Raw,Class_Meeting_End_Raw,CLASS_START_DATE,CLASS_END_DATE,Meeting_Pattern_Descr,Standard_Meeting_Pattern,Associated_Class,Number_of_PIs,Number_of_SIs,Number_of_TAs,Allow_Multi_Enroll_Flag,Equivalent_Course_ID,Equivalent_Course,Course_Fee_Flag,Allowable_FinAid_Credits,Course_Repeat_Limit,Autoenroll_Section_Key,Autoenroll_1,Autoenroll_2,CLASS_SID,CLASS_SESSION_CD,Course_ID,Course_Offer_SID,Course_Offer_Number,Class_Number,Course_Topic_ID,CLASS_SCHED_PRINT_INSTR,Course_SID,Class_Primary_Key,crosslist_dup,crosslist_id,Crosslisted_Enrollment_Cap,Crosslisted_Enrollment_Total,Crosslist_Combination_Type,crosslist_descr,CrossListed_Course_Flag
Class of Record,1243,Spring2024,2023,NRE,2000,003L,Introduction to Geomatics,Introduction to Geomatics,LAB,Laboratory,19,P,Natural Resources and the Envr,In Person,,NATRESENVR,Natural Resources and the Envr,UGRD,Undergraduate,UCONN,University of Connecticut,20,20,E,Enrollment Section,Graded,4,4,,STORR,Storrs,STORRS,0175,231,CMLB,20,NNNNYNN,115,50400,57300,02:00:00 PM,03:55:00 PM,2024-01-16,2024-04-26,,,3,1,1,,N,,,N,4,1,1243_NRE_2000_003L,1243_NRE_2000_001,,248723262,1,013395,34021564,1,10014,0,,,1243+10014+NRE+2000+003L,,,,,,,
Class of Record,1243,Spring2024,2023,DENT,5456,F01,Biostatistics,Biostatistics,LEC,Lecture,8,HB,Dental Science,Hybrid,,DENTALMED,Dental Medicine,GRAD,Graduate,UCONN,University of Connecticut,30,17,E,Enrollment Section,Graded,2,2,,UCHC,UConn Health Center,,,,,,NNYNNNN,50,28800,31800,08:00:00 AM,08:50:00 AM,2024-01-23,2024-04-30,,,1,,,,N,,,N,2,1,1243_DENT_5456_F01,,,248718666,1,010915,34023087,1,1002,0,,,1243+1002+DENT+5456+F01,,,,,,,
Class of Record,1243,Spring2024,2023,NRE,4696,009,Ugrd Research in Nat Res,Undergraduate Research in Natural Resources,RSC,Research,1,AR,Natural Resources and the Envr,By Arrangement,,NATRESENVR,Natural Resources and the Envr,UGRD,Undergraduate,UCONN,University of Connecticut,5,5,E,Enrollment Section,Graded,6,2,Variable Credits,STORR,Storrs,STORRS,NRRSTOR,ARR,NRR,0,NNNNNNN,,,,,,2024-01-16,2024-04-26,,,9,1,,,Y,,,N,2,3,1243_NRE_4696_009,,,248723265,1,013404,34020105,1,10020,0,Y,,1243+10020+NRE+4696+009,,,,,,,
Class of Record,1243,Spring2024,2023,NRE,4697W,006,Undergrad Rsch Thesis Nat Res,Undergraduate Research Thesis in Natural Resources,THE,Thesis Research,1,AR,Natural Resources and the Envr,By Arrangement,,NATRESENVR,Natural Resources and the Envr,UGRD,Undergraduate,UCONN,University of Connecticut,5,5,E,Enrollment Section,Graded,3,3,,STORR,Storrs,STORRS,NRRSTOR,ARR,NRR,0,NNNNNNN,,,,,,2024-01-16,2024-04-26,,,6,1,,,N,00838,NRME 297/297w,N,3,1,1243_NRE_4697W_006,,,248719074,1,013423,34020306,1,10035,0,Y,,1243+10035+NRE+4697W+006,,,,,,,
Class of Record,1243,Spring2024,2023,NRE,3201,001,Conservation Law Enforcement,Conservation Law Enforcement,LSA,Lecture - Stand Alone,29,P,Natural Resources and the Envr,In Person,,NATRESENVR,Natural Resources and the Envr,UGRD,Undergraduate,UCONN,University of Connecticut,30,30,E,Enrollment Section,Graded,3,3,,STORR,Storrs,STORRS,0175,336,LAB,35,NNYNYNN,75,28800,33300,08:00:00 AM,09:15:00 AM,2024-01-16,2024-04-26,,,1,1,,,N,,,N,3,1,1243_NRE_3201_001,,,248718708,1,013442,34025253,1,10042,0,Y,,1243+10042+NRE+3201+001,,,,,,,
Class of Record,1243,Spring2024,2023,NRE,2215E,001,Introduction Water Resources,Introduction to Water Resources,LSA,Lecture - Stand Alone,29,P,Natural Resources and the Envr,In Person,,NATRESENVR,Natural Resources and the Envr,UGRD,Undergraduate,UCONN,University of Connecticut,30,30,E,Enrollment Section,Graded,3,3,,STORR,Storrs,STORRS,0175,336,LAB,35,NNYNYNN,75,34200,38700,09:30:00 AM,10:45:00 AM,2024-01-16,2024-04-26,,,1,1,,,N,,,N,3,1,1243_NRE_2215E_001,,,248719078,1,013443,34025335,1,10043,0,Y,,1243+10043+NRE+2215E+001,,,,,,,
Class of Record,1243,Spring2024,2023,NRE,3146,001,Climatology,Climatology,LSA,Lecture - Stand Alone,25,OA,Natural Resources and the Envr,Online Asynchronous,,NATRESENVR,Natural Resources and the Envr,UGRD,Undergraduate,UCONN,University of Connecticut,25,25,E,Enrollment Section,Graded,3,3,,STORR,Storrs,STORRS,NRRSTOR,ONL,NRR,0,NNNNNNN,,,,,,2024-01-16,2024-04-26,,,1,1,,,N,,,N,3,1,1243_NRE_3146_001,,,248719079,1,015310,34026084,1,10045,0,Y,,1243+10045+NRE+3146+001,,,,,,,
Class of Record,1243,Spring2024,2023,NRE,4340,001,Ecotoxicology,Ecotoxicology,LSA,Lecture - Stand Alone,25,P,Natural Resources and the Envr,In Person,,NATRESENVR,Natural Resources and the Envr,UGRD,Undergraduate,UCONN,University of Connecticut,25,25,E,Enrollment Section,Graded,3,3,,STORR,Storrs,STORRS,0175,128,CSRM,42,NNYNYNN,75,34200,38700,09:30:00 AM,10:45:00 AM,2024-01-16,2024-04-26,,,1,1,,,N,,,N,3,1,1243_NRE_4340_001,,,248718712,1,015912,34024670,1,10046,0,Y,,1243+10046+NRE+4340+001,1,1243-0297,40,27,B,NRE 4340/5340 (001),C
Class of Record,1243,Spring2024,2023,NRE,4370,001,Population Dynamics,Population Dynamics,LSA,Lecture - Stand Alone,16,P,Natural Resources and the Envr,In Person,,NATRESENVR,Natural Resources and the Envr,UGRD,Undergraduate,UCONN,University of Connecticut,25,25,E,Enrollment Section,Graded,3,3,,STORR,Storrs,STORRS,0175,128,CSRM,42,NNYNYNN,75,28800,33300,08:00:00 AM,09:15:00 AM,2024-01-16,2024-04-26,,,1,1,,,N,,,N,3,1,1243_NRE_4370_001,,,248719080,1,015913,34025257,1,10047,0,Y,,1243+10047+NRE+4370+001,1,1243-0296,35,17,B,NRE 5370/4370 (001),C
Class of Record,1243,Spring2024,2023,NRE,5200,001,Sustainable Natural Resources,Sustainable Natural Resources Management,LSA,Lecture - Stand Alone,27,OA,Natural Resources and the Envr,Online Asynchronous,,NATRESENVR,Natural Resources and the Envr,GRAD,Graduate,UCONN,University of Connecticut,30,30,E,Enrollment Section,Graded,3,3,,STORR,Storrs,STORRS,NRRSTOR,ONL,NRR,0,NNNNNNN,,,,,,2024-01-16,2024-04-26,,,1,1,,,N,,,N,3,1,1243_NRE_5200_001,,,248718753,1,016261,34024506,1,10048,0,Y,,1243+10048+NRE+5200+001,,,,,,,
Class of Record,1243,Spring2024,2023,NRE,5205,001,Decision Methods in NRE,Decision Methods in Natural Resources,LSA,Lecture - Stand Alone,22,OA,Natural Resources and the Envr,Online Asynchronous,,NATRESENVR,Natural Resources and the Envr,GRAD,Graduate,UCONN,University of Connecticut,30,30,E,Enrollment Section,Graded,3,3,,STORR,Storrs,STORRS,NRRSTOR,ONL,NRR,0,NNNNNNN,,,,,,2024-01-16,2024-04-26,,,1,1,,,N,,,N,3,1,1243_NRE_5205_001,,,248719100,1,016262,34024100,1,10049,0,Y,,1243+10049+NRE+5205+001,,,,,,,
Class of Record,1243,Spring2024,2023,DENT,6000,F01,Full Time Residency,Full Time Residency,PRA,Practicum,39,P,Dental Science,In Person,,DENTALMED,Dental Medicine,GRAD,Graduate,UCONN,University of Connecticut,60,30,E,Enrollment Section,Registered,0,0,,UCHC,UConn Health Center,,,,,,NNNNNNN,,,,,,2024-01-16,2024-04-26,,,1,1,,,N,,,N,9,1,1243_DENT_6000_F01,,,248719056,1,016907,34017725,1,1005,0,,,1243+1005+DENT+6000+F01,,,,,,,
Class of Record,1243,Spring2024,2023,NRE,5210,001,Commun for Environ Dec Maker,Communications for Environmental Decision Makers,LSA,Lecture - Stand Alone,22,OA,Natural Resources and the Envr,Online Asynchronous,,NATRESENVR,Natural Resources and the Envr,GRAD,Graduate,UCONN,University of Connecticut,30,30,E,Enrollment Section,Graded,3,3,,STORR,Storrs,STORRS,NRRSTOR,ONL,NRR,0,NNNNNNN,,,,,,2024-01-16,2024-04-26,,,1,1,,,N,,,N,3,1,1243_NRE_5210_001,,,248718755,1,016263,34022897,1,10050,0,Y,,1243+10050+NRE+5210+001,,,,,,,
Class of Record,1243,Spring2024,2023,NRE,5215,001,Intro to Geospatial Analysis,Introduction to Geospatial Analysis with Remote Sensing,LSA,Lecture - Stand Alone,8,OA,Natural Resources and the Envr,Online Asynchronous,,NATRESENVR,Natural Resources and the Envr,GRAD,Graduate,UCONN,University of Connecticut,30,30,E,Enrollment Section,Graded,3,3,,STORR,Storrs,STORRS,NRRSTOR,ONL,NRR,0,NNNNNNN,,,,,,2024-01-16,2024-04-26,,,1,1,,,N,,,N,3,1,1243_NRE_5215_001,,,248719101,1,016264,34023977,1,10051,0,Y,,1243+10051+NRE+5215+001,,,,,,,
Class of Record,1243,Spring2024,2023,NRE,5220,001,Envir Plan for Sust Comm&Reg,Environmental Planning for Sustainable Communities and Regions,LSA,Lecture - Stand Alone,17,OA,Natural Resources and the Envr,Online Asynchronous,,NATRESENVR,Natural Resources and the Envr,GRAD,Graduate,UCONN,University of Connecticut,30,30,E,Enrollment Section,Graded,3,3,,STORR,Storrs,STORRS,NRRSTOR,ONL,NRR,0,NNNNNNN,,,,,,2024-01-16,2024-04-26,,,1,1,,,N,,,N,3,1,1243_NRE_5220_001,,,248718757,1,016265,34024388,1,10052,0,Y,,1243+10052+NRE+5220+001,,,,,,,
Class of Record,1243,Spring2024,2023,NRE,2600E,001,Global Sust Natural Resources,Global Sustainable Natural Resources,LSA,Lecture - Stand Alone,80,P,Natural Resources and the Envr,In Person,,NATRESENVR,Natural Resources and the Envr,UGRD,Undergraduate,UCONN,University of Connecticut,80,80,E,Enrollment Section,Graded,3,3,,STORR,Storrs,STORRS,0212,201,CSRM,100,NNYNYNN,75,39600,44100,11:00:00 AM,12:15:00 PM,2024-01-16,2024-04-26,,,1,1,,,N,,,N,3,1,1243_NRE_2600E_001,,,248719102,1,016296,34024504,1,10053,0,Y,,1243+10053+NRE+2600E+001,,,,,,,
Class of Record,1243,Spring2024,2023,NRE,5535,001,Remote Sensing Image Process,Remote Sensing Image Processing,LEC,Lecture,15,OA,Natural Resources and the Envr,Online Asynchronous,,NATRESENVR,Natural Resources and the Envr,GRAD,Graduate,UCONN,University of Connecticut,15,15,N,Non-Enrollment Section,Graded,3,3,,STORR,Storrs,STORRS,NRRSTOR,ONL,NRR,0,NNNNNNN,,,,,,2024-01-16,2024-04-26,,,9999,1,,,N,,,N,3,1,1243_NRE_5535_001,,,248718759,1,019230,34019631,1,10054,0,Y,,1243+10054+NRE+5535+001,,,,,,,
Class of Record,1243,Spring2024,2023,NRE,5535,001L,Remote Sensing Image Process,Remote Sensing Image Processing,LAB,Laboratory,15,OA,Natural Resources and the Envr,Online Asynchronous,,NATRESENVR,Natural Resources and the Envr,GRAD,Graduate,UCONN,University of Connecticut,15,15,E,Enrollment Section,Graded,3,3,,STORR,Storrs,STORRS,NRRSTOR,ONL,NRR,0,NNNNNNN,,,,,,2024-01-16,2024-04-26,,,1,,1,,N,,,N,3,1,1243_NRE_5535_001L,1243_NRE_5535_001,,248719103,1,019230,34019631,1,10055,0,,,1243+10055+NRE+5535+001L,,,,,,,
Class of Record,1243,Spring2024,2023,NRE,5560,001,High Res Remote Sensing,High Resolution Remote Sensing: Applications of UAS and LiDAR,LSA,Lecture - Stand Alone,10,OA,Natural Resources and the Envr,Online Asynchronous,,NATRESENVR,Natural Resources and the Envr,GRAD,Graduate,UCONN,University of Connecticut,30,30,E,Enrollment Section,Graded,3,3,,STORR,Storrs,STORRS,NRRSTOR,ONL,NRR,0,NNNNNNN,,,,,,2024-01-16,2024-04-26,,,1,1,,,N,,,N,3,1,1243_NRE_5560_001,,,248718760,1,019273,34025450,1,10056,0,Y,,1243+10056+NRE+5560+001,,,,,,,
Class of Record,1243,Spring2024,2023,NRE,5830,001,Internship Energy Env Mgmt,Internship in Energy and Environmental Management,PRA,Practicum,5,AR,Natural Resources and the Envr,By Arrangement,,NATRESENVR,Natural Resources and the Envr,GRAD,Graduate,UCONN,University of Connecticut,15,15,E,Enrollment Section,Graded,3,3,,STORR,Storrs,STORRS,NRRSTOR,ARR,NRR,0,NNNNNNN,,,,,,2024-01-16,2024-04-26,,,1,1,,,N,,,N,3,1,1243_NRE_5830_001,,,248719105,1,019470,34020776,1,10059,0,Y,,1243+10059+NRE+5830+001,,,,,,,
Class of Record,1243,Spring2024,2023,DENT,5495,F01,Independent Study,Independent Study,IND,Independent Study,1,P,Dental Science,In Person,,DENTALMED,Dental Medicine,GRAD,Graduate,UCONN,University of Connecticut,5,99,E,Enrollment Section,Graded,6,1,Variable Credits,UCHC,UConn Health Center,,,,,,NNNNNNN,,,,,,2024-01-16,2024-04-26,,,1,1,,,Y,,,N,1,5,1243_DENT_5495_F01,,,248718669,1,010987,34017414,1,1006,0,Y,,1243+1006+DENT+5495+F01,,,,,,,
Class of Record,1243,Spring2024,2023,NRE,5340,001,Ecotoxicology,Ecotoxicology,LSA,Lecture - Stand Alone,3,P,Natural Resources and the Envr,In Person,,NATRESENVR,Natural Resources and the Envr,GRAD,Graduate,UCONN,University of Connecticut,15,15,E,Enrollment Section,Graded,3,3,,STORR,Storrs,STORRS,0175,128,CSRM,42,NNYNYNN,75,34200,38700,09:30:00 AM,10:45:00 AM,2024-01-16,2024-04-26,,,1,1,,,N,,,N,3,1,1243_NRE_5340_001,,,248718764,1,019479,34022609,1,10060,0,Y,,1243+10060+NRE+5340+001,0,1243-0297,40,27,B,NRE 4340/5340 (001),C
Class of Record,1243,Spring2024,2023,NRE,5850,001,Practicum in Energy and Enviro,Practicum in Energy and Environmental Management,PRA,Practicum,9,AR,Natural Resources and the Envr,By Arrangement,,NATRESENVR,Natural Resources and the Envr,GRAD,Graduate,UCONN,University of Connecticut,15,15,E,Enrollment Section,Graded,3,3,,STORR,Storrs,STORRS,NRRSTOR,ARR,NRR,0,NNNNNNN,,,,,,2024-01-16,2024-04-26,,,1,1,,,N,,,N,3,1,1243_NRE_5850_001,,,248719106,1,019562,34020197,1,10061,0,Y,,1243+10061+NRE+5850+001,,,,,,,
Class of Record,1243,Spring2024,2023,NRE,5370,001,Population Dynamics,Population Dynamics,LSA,Lecture - Stand Alone,1,P,Natural Resources and the Envr,In Person,,NATRESENVR,Natural Resources and the Envr,GRAD,Graduate,UCONN,University of Connecticut,10,10,E,Enrollment Section,Graded,3,3,,STORR,Storrs,STORRS,0175,128,CSRM,42,NNYNYNN,75,28800,33300,08:00:00 AM,09:15:00 AM,2024-01-16,2024-04-26,,,1,1,,,N,,,N,3,1,1243_NRE_5370_001,,,248718766,1,019637,34021919,1,10062,0,Y,,1243+10062+NRE+5370+001,0,1243-0296,35,17,B,NRE 5370/4370 (001),C
Class of Record,1243,Spring2024,2023,NRE,3150,001,Green Stormwater Infrast Pract,Green Stormwater Infrastructure Practices,LSA,Lecture - Stand Alone,9,P,Natural Resources and the Envr,In Person,,NATRESENVR,Natural Resources and the Envr,UGRD,Undergraduate,UCONN,University of Connecticut,25,25,E,Enrollment Section,Graded,3,3,,STORR,Storrs,STORRS,0212,101,CSRM,30,NNYNYNN,75,50400,54900,02:00:00 PM,03:15:00 PM,2024-01-16,2024-04-26,,,1,1,,,N,,,N,3,1,1243_NRE_3150_001,,,248719107,1,019802,34023762,1,10063,0,Y,,1243+10063+NRE+3150+001,,,,,,,
Class of Record,1243,Spring2024,2023,NRE,6500,001,Grant Proposal Writing,Grant Proposal Writing,LSA,Lecture - Stand Alone,9,AR,Natural Resources and the Envr,By Arrangement,,NATRESENVR,Natural Resources and the Envr,GRAD,Graduate,UCONN,University of Connecticut,15,15,E,Enrollment Section,Graded,2,2,,STORR,Storrs,STORRS,NRRSTOR,ARR,NRR,0,NNNNNNN,,,,,,2024-01-16,2024-04-26,,,1,1,,,N,,,N,2,1,1243_NRE_6500_001,,,248718768,1,019988,34023093,1,10064,0,Y,,1243+10064+NRE+6500+001,,,,,,,
Class of Record,1243,Spring2024,2023,NRE,5230,001,Sustainability Leadership Org,Sustainability Leadership in Organizations,LSA,Lecture - Stand Alone,23,OA,Natural Resources and the Envr,Online Asynchronous,,NATRESENVR,Natural Resources and the Envr,GRAD,Graduate,UCONN,University of Connecticut,30,30,E,Enrollment Section,Graded,3,3,,STORR,Storrs,STORRS,NRRSTOR,ONL,NRR,0,NNNNNNN,,,,,,2024-01-16,2024-04-26,,,1,1,,,N,,,N,3,1,1243_NRE_5230_001,,,248719108,1,020095,34025455,1,10065,0,Y,,1243+10065+NRE+5230+001,,,,,,,
Class of Record,1243,Spring2024,2023,NRE,4180,001,Climate Change Adaptation Sci,Climate Change Adaptation Science,LSA,Lecture - Stand Alone,4,P,Natural Resources and the Envr,In Person,,NATRESENVR,Natural Resources and the Envr,UGRD,Undergraduate,UCONN,University of Connecticut,25,25,E,Enrollment Section,Graded,3,3,,STORR,Storrs,STORRS,0175,336,LAB,35,NNYNYNN,75,55800,60300,03:30:00 PM,04:45:00 PM,2024-01-16,2024-04-26,,,1,1,,,N,,,N,3,1,1243_NRE_4180_001,,,248718770,1,020114,34024578,1,10066,0,Y,,1243+10066+NRE+4180+001,0,1243-0298,35,10,B,NRE 4180/5180 (001),C
Class of Record,1243,Spring2024,2023,SPSS,1150,001,Agricultural Technology & Soci,Agricultural Technology and Society,LSA,Lecture - Stand Alone,18,P,Sustainable Plant and Soil Sys,In Person,,PLANTSCI,Plant Science and Landscp Arch,UGRD,Undergraduate,UCONN,University of Connecticut,30,30,E,Enrollment Section,Graded,3,3,,STORR,Storrs,STORRS,0212,101,CSRM,30,NNYNYNN,75,45000,49500,12:30:00 PM,01:45:00 PM,2024-01-16,2024-04-26,,,1,1,,,N,,,N,3,1,1243_SPSS_1150_001,,,248722188,1,009021,34023165,1,10069,0,Y,,1243+10069+SPSS+1150+001,,,,,,,
Class of Record,1243,Spring2024,2023,DENT,5495,F02,Independent Study,Independent Study,IND,Independent Study,3,P,Dental Science,In Person,,DENTALMED,Dental Medicine,GRAD,Graduate,UCONN,University of Connecticut,10,99,E,Enrollment Section,Graded,6,1,Variable Credits,UCHC,UConn Health Center,,,,,,NNNNNNN,,,,,,2024-01-16,2024-04-26,,,2,1,,,Y,,,N,1,5,1243_DENT_5495_F02,,,248719057,1,010987,34017414,1,1007,0,Y,,1243+1007+DENT+5495+F02,,,,,,,
